Present State of MPS:
space_size=20	,cutoff=0.0001000000	,lr=0.100000
bond dimension:[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	loss=4.315174e-02
cutoff	n_loop	n_descent	learning_rate
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
1.00e-04	1	10	1.00e-01
Present set_size:534
Present setting_number:41
