Present State of MPS:
space_size=24	,cutoff=0.0100000000	,lr=0.100000
bond dimension:[2, 4, 5, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 4, 2, 1]	loss=8.339226e+00
cutoff	n_loop	n_descent	learning_rate
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
Present set_size:549
Present setting_number:49
