Present State of MPS:
space_size=24	,cutoff=0.0100000000	,lr=0.100000
bond dimension:[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	loss=3.994980e-02
cutoff	n_loop	n_descent	learning_rate
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
Present set_size:486
Present setting_number:49
